Technology;Work;School;Hobby;Score
.NET;1;1;1;5
ASP.NET;1;1;1;5
Azure App Service;1;1;0;2
Azure Blob Storage;0;1;0;2
Azure Cosmos DB;0;1;0;2
Azure DevOps;1;0;0;4
Azure Functions;0;1;0;3
Bash;0;0;1;2
Burp Suite;1;0;1;1
C#;1;1;1;5
C;0;0;1;1
Docker;1;1;1;3
Entity Framework;1;1;0;3
Express.js;0;1;1;2
Git;1;1;1;5
GitHub Actions;0;1;1;3
JavaScript;1;1;1;3
Linux;0;0;1;2
Microsoft Dependency Injection;1;1;1;5
Microsoft Identity Server;1;0;0;2
Microsoft SQL Server;1;1;1;3
Microsoft WPF;1;1;0;2
MS-Test;1;0;0;4
Next.js;0;0;1;2
NHibernate;1;0;0;4
Node.js;0;1;1;3
NuGet packaging;0;0;1;3
NUnit;1;1;0;3
Postman;1;1;1;3
PowerShell;1;0;1;2
Python;0;1;1;3
React.js;0;1;1;2
SignalR;0;1;0;1
TypeScript;1;1;1;3
X-Unit;1;1;1;5
x86 Assembly;0;0;1;1
